"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 09:29:11 GMT 2024","Wed May 15 09:29:14 GMT 2024","3145","webkit","specs/tests.spec.ts","Rabata.io test","","","Total data stored and monthly costs update correctly with highest input values",""
"passed","Wed May 15 09:28:33 GMT 2024","Wed May 15 09:28:36 GMT 2024","2113","firefox","specs/tests.spec.ts","Rabata.io test","","","Try It For Free button redirects to the sign-up page",""
"passed","Wed May 15 09:28:14 GMT 2024","Wed May 15 09:28:16 GMT 2024","2181","chromium","specs/tests.spec.ts","Rabata.io test","","","Try It For Free button redirects to the sign-up page",""
"passed","Wed May 15 09:28:20 GMT 2024","Wed May 15 09:28:22 GMT 2024","1963","chromium","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy modal closes correctly when clicking X",""
"passed","Wed May 15 09:28:18 GMT 2024","Wed May 15 09:28:20 GMT 2024","1969","chromium","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy modal closes correctly when clicking OK",""
"passed","Wed May 15 09:28:45 GMT 2024","Wed May 15 09:28:47 GMT 2024","1870","firefox","specs/tests.spec.ts","Rabata.io test","","","Total data stored and monthly costs update correctly with lowest input values",""
"passed","Wed May 15 09:28:38 GMT 2024","Wed May 15 09:28:40 GMT 2024","2033","firefox","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy modal closes correctly when clicking OK",""
"passed","Wed May 15 09:29:14 GMT 2024","Wed May 15 09:29:17 GMT 2024","3086","webkit","specs/tests.spec.ts","Rabata.io test","","","Total data stored and monthly costs update correctly with lowest input values",""
"passed","Wed May 15 09:28:28 GMT 2024","Wed May 15 09:28:33 GMT 2024","5052","firefox","specs/tests.spec.ts","Rabata.io test","","","User can successfully sign up with valid credentials",""
"passed","Wed May 15 09:28:26 GMT 2024","Wed May 15 09:28:28 GMT 2024","1945","chromium","specs/tests.spec.ts","Rabata.io test","","","Total data stored and monthly costs update correctly with lowest input values",""
"passed","Wed May 15 09:29:01 GMT 2024","Wed May 15 09:29:05 GMT 2024","3318","webkit","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy modal closes correctly when clicking OK",""
"passed","Wed May 15 09:29:05 GMT 2024","Wed May 15 09:29:08 GMT 2024","3262","webkit","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy modal closes correctly when clicking X",""
"passed","Wed May 15 09:28:24 GMT 2024","Wed May 15 09:28:26 GMT 2024","1937","chromium","specs/tests.spec.ts","Rabata.io test","","","Total data stored and monthly costs update correctly with highest input values",""
"passed","Wed May 15 09:28:42 GMT 2024","Wed May 15 09:28:44 GMT 2024","2025","firefox","specs/tests.spec.ts","Rabata.io test","","","Initial total data stored and monthly costs are displayed correctly",""
"passed","Wed May 15 09:28:22 GMT 2024","Wed May 15 09:28:24 GMT 2024","1940","chromium","specs/tests.spec.ts","Rabata.io test","","","Initial total data stored and monthly costs are displayed correctly",""
"passed","Wed May 15 09:28:58 GMT 2024","Wed May 15 09:29:01 GMT 2024","3138","webkit","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy page is displayed correctly",""
"passed","Wed May 15 09:28:44 GMT 2024","Wed May 15 09:28:45 GMT 2024","1743","firefox","specs/tests.spec.ts","Rabata.io test","","","Total data stored and monthly costs update correctly with highest input values",""
"passed","Wed May 15 09:28:36 GMT 2024","Wed May 15 09:28:38 GMT 2024","2150","firefox","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy page is displayed correctly",""
"passed","Wed May 15 09:28:48 GMT 2024","Wed May 15 09:28:55 GMT 2024","6671","webkit","specs/tests.spec.ts","Rabata.io test","","","User can successfully sign up with valid credentials",""
"passed","Wed May 15 09:28:10 GMT 2024","Wed May 15 09:28:14 GMT 2024","4566","chromium","specs/tests.spec.ts","Rabata.io test","","","User can successfully sign up with valid credentials",""
"passed","Wed May 15 09:28:40 GMT 2024","Wed May 15 09:28:42 GMT 2024","1854","firefox","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy modal closes correctly when clicking X",""
"passed","Wed May 15 09:28:16 GMT 2024","Wed May 15 09:28:18 GMT 2024","1938","chromium","specs/tests.spec.ts","Rabata.io test","","","Privacy Policy page is displayed correctly",""
"passed","Wed May 15 09:28:55 GMT 2024","Wed May 15 09:28:58 GMT 2024","3297","webkit","specs/tests.spec.ts","Rabata.io test","","","Try It For Free button redirects to the sign-up page",""
"passed","Wed May 15 09:29:08 GMT 2024","Wed May 15 09:29:11 GMT 2024","3092","webkit","specs/tests.spec.ts","Rabata.io test","","","Initial total data stored and monthly costs are displayed correctly",""
